number, name, year, director, screenwriter, roles, style, countries, language, date, long, imdb, evaluation
5,沙丘 Dune,2021,['丹尼斯·维伦纽瓦'],"['丹尼斯·维伦纽瓦', '乔·斯派茨', '艾瑞克·罗斯', '弗兰克·赫伯特']","['蒂莫西·柴勒梅德', '丽贝卡·弗格森', '奥斯卡·伊萨克', '戴夫·巴蒂斯塔', '赞达亚', '杰森·莫玛', '乔什·布洛林', '哈维尔·巴登', '斯特兰·斯卡斯加德', '夏洛特·兰普林', '大卫·达斯马齐连', '莎伦·邓肯-布鲁斯特', '斯蒂芬·亨德森', '迈克尔·纳尔多内', '张震', '巴布斯·奥卢桑莫昆', '奥利弗·瑞安', '查理·罗尔斯', '格洛里亚·奥比安约', '保罗·布林', '比约恩·弗赖贝格']","['剧情', '科幻', '冒险']", 美国, 英语 / 汉语普通话,2021-10-22(美国/中国大陆),156分钟, tt1160419,7.7
9,疯狂动物城 Zootopia,2016,"['拜伦·霍华德', '瑞奇·摩尔', '杰拉德·布什']","['拜伦·霍华德', '瑞奇·摩尔', '杰拉德·布什', '吉姆·里尔顿', '乔西·特立尼达', '菲尔·约翰斯顿', '珍妮弗·李']","['金妮弗·古德温', '杰森·贝特曼', '伊德里斯·艾尔巴', '珍妮·斯蕾特', '内特·托伦斯', '邦尼·亨特', '唐·雷克', '汤米·钟', 'J·K·西蒙斯', '奥克塔维亚·斯宾瑟', '艾伦·图代克', '夏奇拉', '雷蒙德·S·佩尔西', '德拉·萨巴', '莫里斯·拉马奇', '菲尔·约翰斯顿', '约翰·迪·马吉欧', '凯蒂·洛斯', '吉塔·雷迪', '杰西·科尔蒂', '汤米·利斯特', '乔希·达拉斯', '瑞奇·摩尔', '凯斯·索西', '彼得·曼斯布里奇', '拜伦·霍华德', '杰拉德·布什', '马克·史密斯', '乔西·特立尼达', '约翰·拉维尔', '克里斯汀·贝尔', '吉尔·科德斯', '梅利莎·古德温']","['喜剧', '动画', '冒险']", 美国, 英语 / 挪威语,2016-03-04(中国大陆/美国),109分钟(中国大陆), tt2948356,9.2
21,哈利·波特与魔法石 Harry Potter and the Sorcerer's Stone,2001,['克里斯·哥伦布'],"['史蒂夫·克洛夫斯', 'J. K. 罗琳']","['丹尼尔·雷德克里夫', '艾玛·沃森', '鲁伯特·格林特', '艾伦·瑞克曼', '玛吉·史密斯', '汤姆·费尔顿', '伊恩·哈特', '理查德·哈里斯', '约翰·赫特', '罗彼·考特拉尼', '朱丽·沃特斯', '邦妮·怀特', '约翰·克里斯', '肖恩·比格斯代夫']","['奇幻', '冒险']", 美国 / 英国, 英语,2002-01-26(中国大陆),152分钟, tt0241527,9.1
28,流浪地球,2019,['郭帆'],"['龚格尔', '严东旭', '郭帆', '叶俊策', '杨治学', '吴荑', '叶濡畅', '沈晶晶', '刘慈欣']","['吴京', '屈楚萧', '李光洁', '吴孟达', '赵今麦', '隋凯', '屈菁菁', '张亦驰', '杨皓宇', '阿尔卡基·沙罗格拉茨基', '李虹辰', '杨轶', '姜志刚', '张欢', '雷佳音', '宁浩', '刘慈欣', '郭京飞', '王智', '张子贤', '路阳', '张宁', '张小北', '饶晓志', '陶珞依', '吴晓亮', '龚格尔', '郭帆']","['科幻', '冒险', '灾难']", 中国大陆, 汉语普通话 / 英语 / 俄语 / 法语 / 日语 / 韩语 / 印尼语,2019-02-05(中国大陆),125分钟, tt7605074,7.9
31,盗梦空间 Inception,2010,['克里斯托弗·诺兰'],['克里斯托弗·诺兰'],"['莱昂纳多·迪卡普里奥', '约瑟夫·高登-莱维特', '艾利奥特·佩吉', '汤姆·哈迪', '渡边谦', '迪利普·劳', '基里安·墨菲', '汤姆·贝伦杰', '玛丽昂·歌迪亚', '皮特·波斯尔思韦特', '迈克尔·凯恩', '卢卡斯·哈斯', '李太力', '克莱尔·吉尔蕾', '马格努斯·诺兰', '泰勒·吉蕾', '乔纳森·吉尔', '水源士郎', '冈本玉二', '厄尔·卡梅伦', '瑞恩·海沃德', '米兰达·诺兰', '拉什·费加', '蒂姆·科勒赫', '妲露拉·莱莉']","['剧情', '科幻', '悬疑', '冒险']", 美国 / 英国, 英语 / 日语 / 法语,2010-09-01(中国大陆),148分钟,"
        ",9.4
32,星际穿越 Interstellar,2014,['克里斯托弗·诺兰'],"['乔纳森·诺兰', '克里斯托弗·诺兰']","['马修·麦康纳', '安妮·海瑟薇', '杰西卡·查斯坦', '麦肯吉·弗依', '卡西·阿弗莱克', '迈克尔·凯恩', '马特·达蒙', '蒂莫西·柴勒梅德', '艾伦·伯斯汀', '约翰·利思戈', '韦斯·本特利', '大卫·吉亚西', '比尔·欧文', '托弗·戈瑞斯', '科莱特·沃夫', '弗朗西斯·X.麦卡蒂', '安德鲁·博尔巴', '乔什·斯图沃特', '莱雅·卡里恩斯', '利亚姆·迪金森', '杰夫·赫普内尔', '伊莱耶斯·加贝尔', '布鲁克·史密斯', '大卫·奥伊罗', '威廉姆·德瓦内', '拉什·费加', '格里芬·弗雷泽', '弗洛拉·诺兰']","['剧情', '科幻', '冒险']", 美国 / 英国 / 加拿大, 英语,2014-11-12(中国大陆),169分钟,"
        ",9.4
44,阿凡达 Avatar,2009,['詹姆斯·卡梅隆'],['詹姆斯·卡梅隆'],"['萨姆·沃辛顿', '佐伊·索尔达娜', '西格妮·韦弗', '史蒂芬·朗', '米歇尔·罗德里格兹', '吉奥瓦尼·瑞比西', '乔·大卫·摩尔 ', '希·庞德', '韦斯·斯塔迪', '拉兹·阿隆索', '迪利普·劳', '马特·杰拉德', '肖恩·安东尼·莫兰']","['动作', '科幻', '冒险']", 美国, 英语 / 西班牙语,2010-01-04(中国大陆),162分钟, tt0499549,8.8
47,飞屋环游记 Up,2009,"['彼特·道格特', '鲍勃·彼德森']","['彼特·道格特', '鲍勃·彼德森', '汤姆·麦卡锡']","['爱德华·阿斯纳', '克里斯托弗·普卢默', '乔丹·长井', '鲍勃·彼德森', '德尔罗伊·林多', '杰罗姆·兰福特', '约翰·拉岑贝格', '大卫·卡耶', '艾丽·道克特', '杰里米·利里', '米凯·麦高万', '丹尼·曼恩', '唐纳德·富利洛夫', '杰斯·哈梅尔', '乔什·库雷', '彼特·道格特']","['剧情', '喜剧', '动画', '冒险']", 美国, 英语,2009-08-04(中国大陆),96分钟, tt1049413,9.1
50,龙猫 となりのトトロ,1988,['宫崎骏'],['宫崎骏'],"['日高法子', '坂本千夏', '糸井重里', '岛本须美', '北林谷荣', '高木均', '雨笠利幸', '丸山裕子', '广濑正志', '鹫尾真知子', '铃木玲子', '千叶繁', '龙田直树', '鳕子', '西村朋纮', '石田光子', '神代知衣', '中村大树', '水谷优子', '平松晶子', '大谷育江']","['动画', '奇幻', '冒险']", 日本, 日语,2018-12-14(中国大陆),86分钟, tt0096283,9.2
53,哈利·波特与密室 Harry Potter and the Chamber of Secrets,2002,['克里斯·哥伦布'],"['史蒂夫·克洛夫斯', 'J. K. 罗琳']","['丹尼尔·雷德克里夫', '艾玛·沃森', '鲁伯特·格林特', '汤姆·费尔顿', '理查德·格雷弗斯', '费奥纳·肖', '托比·琼斯', '朱丽·沃特斯', '邦妮·怀特', '詹森·艾萨克', '肯尼思·布拉纳', '艾伦·瑞克曼', '理查德·哈里斯', '玛吉·史密斯', '约翰·克里斯', '肖恩·比格斯代夫', '克里斯·兰金', '克里斯蒂安·库尔森']","['奇幻', '冒险']", 英国 / 美国, 英语,2003-01-24(中国大陆),161分钟, tt0295297,8.8
54,头号玩家 Ready Player One,2018,['史蒂文·斯皮尔伯格'],"['扎克·佩恩', '恩斯特·克莱恩']","['泰伊·谢里丹', '奥利维亚·库克', '本·门德尔森', '马克·里朗斯', '丽娜·维特', '森崎温', '赵家正', '西蒙·佩吉', 'T·J·米勒', '汉娜·乔恩-卡门', '拉尔夫·伊内森', '苏珊·林奇', '克莱尔·希金斯', '劳伦斯·斯佩尔曼', '佩蒂塔·维克斯', '艾萨克·安德鲁斯']","['动作', '科幻', '冒险']", 美国, 英语 / 日语 / 汉语普通话,2018-03-30(中国大陆),140分钟, tt1677720,8.7
56,哈利·波特与阿兹卡班的囚徒 Harry Potter and the Prisoner of Azkaban,2004,['阿方索·卡隆'],"['史蒂夫·克洛夫斯', 'J. K. 罗琳']","['丹尼尔·雷德克里夫', '艾玛·沃森', '鲁伯特·格林特', '加里·奥德曼', '朱丽·沃特斯', '邦妮·怀特', '大卫·休里斯', '迈克尔·刚本', '艾伦·瑞克曼', '玛吉·史密斯', '汤姆·费尔顿', '艾玛·汤普森', '朱莉·克里斯蒂', '蒂莫西·斯波']","['奇幻', '冒险']", 英国 / 美国, 英语,2004-09-10(中国大陆),141 分钟, tt0304141,8.9
60,哈利·波特与火焰杯 Harry Potter and the Goblet of Fire,2005,['迈克·内威尔'],"['史蒂夫·克洛夫斯', 'J. K. 罗琳']","['丹尼尔·雷德克里夫', '艾玛·沃森', '鲁伯特·格林特', '迈克尔·刚本', '玛吉·史密斯', '汤姆·费尔顿', '蒂莫西·斯波', '罗伯特·帕丁森', '梁佩诗', '大卫·田纳特', '马克·威廉姆斯', '埃里克·赛克斯', '詹姆斯·菲尔普斯', '奥利弗·菲尔普斯', '邦妮·怀特', '克蕾曼丝·波西', '加里·奥德曼', '杰夫·劳勒', '詹森·艾萨克', '斯坦尼斯拉夫·雅涅夫斯基', '罗伯特·哈迪', '阿什莉·阿尔图斯', '亚历克斯·帕尔墨', '罗格·洛伊德-派克', '希拉·艾伦', 'Su Elliot', '大卫·斯特恩', '玛格里·梅森', '马修·刘易斯', '罗彼·考特拉尼', '威廉姆·麦灵', '大卫·布拉德利', '戴文·穆雷', '艾芙珊·阿扎德', '沃维克·戴维斯', '弗朗西斯·德·拉·图瓦', '谢发丽·裘德胡里', '安吉拉珂·曼蒂', '艾伦·瑞克曼', '普里德拉格·比耶拉克', 'Tolga Safer', '布莱丹·格里森', '阿尔弗雷德·伊诺奇', '路易·多伊尔', '杰米·威莱特', '乔什·赫德曼', '夏洛特·斯凯奇', '米兰达·理查森', '罗伯特·威尔福特', 'Tiana Benjamin', '亨利·劳埃德-休斯', '贾维斯·考科尔', '强尼·格林伍德', '菲尔·塞尔维', '史蒂夫·麦基', 'Jason Buckle', 'Steve Claydon', '雪莉·亨德森', '拉尔夫·费因斯', '阿德里安·劳林斯', '杰拉丁·萨莫维尔', '拉斯科·阿特金斯', 'Jack Bagley', '葛蕾·贝拉玛西娜', 'Paul Davies', 'Barry Dowden', 'Natalie Hallam']","['悬疑', '奇幻', '冒险']", 英国 / 美国, 英语 / 法语,2005-11-18(中国大陆),157 分钟, tt0330373,8.7
61,超能陆战队 Big Hero 6,2014,"['唐·霍尔', '克里斯·威廉姆斯']","['乔丹·罗伯茨', '丹尼尔·吉尔森', '罗伯特·L·贝尔德']","['斯科特·安第斯', '瑞恩·波特', '丹尼尔·海尼', 'T·J·米勒', '郑智麟', '小达蒙·韦恩斯', '珍尼希斯·罗德里格兹', '詹姆斯·克伦威尔', '艾伦·图代克', '玛娅·鲁道夫', '亚布拉哈姆·本鲁比', '凯蒂·洛斯', '比利·布什', '丹尼尔·吉尔森', '保罗·布里格斯']","['喜剧', '动作', '科幻', '动画', '冒险']", 美国, 英语,2015-02-28(中国大陆),102分钟, tt2245084,8.7
66,白蛇2：青蛇劫起,2021,['黄家康'],['大毛'],"['唐小喜', '歪歪', '魏超', '赵铭洲', '郑小璞', '马程', '宋旭晨', '邱秋', '张凯', '徐佳琦', '关帅', '张碧玉', '张喆', '杨天翔', '宝木中阳', '林强']","['动画', '奇幻', '冒险']", 中国大陆, 汉语普通话,2021-07-23(中国大陆),131分钟, tt15000314,6.8
67,复仇者联盟4：终局之战 Avengers: Endgame,2019,"['安东尼·罗素', '乔·罗素']","['克里斯托弗·马库斯', '斯蒂芬·麦克菲利', '斯坦·李', '杰克·科比', '吉姆·斯特林']","['小罗伯特·唐尼', '克里斯·埃文斯', '马克·鲁弗洛', '克里斯·海姆斯沃斯', '乔什·布洛林', '保罗·路德', '凯伦·吉兰', '杰瑞米·雷纳', '斯嘉丽·约翰逊', '唐·钱德尔', '布丽·拉尔森', '布莱德利·库珀', '泰莎·汤普森', '汤姆·赫兰德', '伊丽莎白·奥尔森', '本尼迪克特·康伯巴奇', '蒂尔达·斯文顿', '格温妮斯·帕特洛', '蕾妮·罗素', '约翰·斯拉特里', '查德维克·博斯曼', '安东尼·麦凯', '塞巴斯蒂安·斯坦', '克里斯·帕拉特', '汤姆·希德勒斯顿', '佐伊·索尔达娜', '丹娜·奎里拉', '本尼迪克特·王', '庞·克莱门捷夫', '戴夫·巴蒂斯塔', '利蒂希娅·赖特', '伊万杰琳·莉莉', '乔恩·费儒', '海莉·阿特维尔', '娜塔莉·波特曼', '玛丽莎·托梅', '塔伊加·维迪提', '安吉拉·贝塞特', '迈克尔·道格拉斯', '米歇尔·菲佛', '威廉·赫特', '寇碧·史莫德斯', '肖恩·古恩', '温斯顿·杜克', '琳达·卡德里尼', '马克斯米利亚诺·赫尔南德斯', '弗兰克·格里罗', '真田广之', '汤姆-沃恩-劳勒', '詹姆斯·达西', '雅各布·巴特朗', '范·迪塞尔', '罗伯特·雷德福', '塞缪尔·杰克逊', '伊薇特·尼科尔·布朗', '卡梅伦·布鲁姆布罗', '蒂莫西·卡尔', '凯瑞·康顿', '迈克尔·A·库克', '凯莉·库恩', '艾玛·福尔曼', '雷纳·加拉赫', '丹妮拉·加斯基', '郑肯', '小弗洛伊德·安东尼·约翰', '斯坦·李', '罗斯·马昆德', '布伦特·麦吉', '迈克尔·皮耶里诺·米勒', '卡兰·马尔韦', '泰瑞·诺塔里', '吉米·雷·皮肯斯', '迈克尔·詹姆斯·肖', '泰·辛普金斯', '格雷格·蒂芬']","['剧情', '动作', '科幻', '奇幻', '冒险']", 美国, 英语 / 日语 / 科萨语,2019-04-24(中国大陆),181分钟, tt4154796,8.5
68,哈利·波特与死亡圣器(下) Harry Potter and the Deathly Hallows: Part 2,2011,['大卫·叶茨'],"['史蒂夫·克洛夫斯', 'J. K. 罗琳']","['丹尼尔·雷德克里夫', '艾玛·沃森', '鲁伯特·格林特', '海伦娜·伯翰·卡特', '拉尔夫·费因斯', '艾伦·瑞克曼', '玛吉·史密斯', '汤姆·费尔顿', '邦妮·怀特', '朱丽·沃特斯', '迈克尔·刚本', '伊文娜·林奇', '多姆纳尔·格里森', '克蕾曼丝·波西', '詹森·艾萨克', '海伦·麦克洛瑞', '马修·刘易斯', '梁佩诗', '约翰·赫特', '大卫·休里斯', '加里·奥德曼', '吉姆·布劳德本特', '艾玛·汤普森', '娜塔丽·特纳', '蒂莫西·斯波', '大卫·布拉德利', '罗彼·考特拉尼', '凯莉·麦克唐纳', '塞伦·希德']","['奇幻', '冒险']", 美国 / 英国, 英语,2011-08-04(中国大陆),130分钟,"
        ",8.9
70,神偷奶爸 Despicable Me,2010,"['皮埃尔·柯芬', '克里斯·雷纳德']","['肯·道里欧', '塞尔希奥·巴勃罗斯', '辛科·保罗']","['史蒂夫·卡瑞尔', '杰森·席格尔', '拉塞尔·布兰德', '朱莉·安德鲁斯', '威尔·阿奈特', '克里斯汀·韦格', '米兰达·卡斯格拉夫', '达纳·盖尔', '艾尔西·费舍尔', '皮埃尔·柯芬', '克里斯·雷纳德', '杰梅奈·克莱门特', '杰克·麦克布瑞尔', '丹尼·麦克布莱德', '敏迪·卡灵', '罗布·许贝尔', '肯·道里欧', '郑肯']","['喜剧', '动画', '冒险']", 美国 / 法国, 英语,2010-06-20(莫斯科电影节),95分钟, tt1323594,8.6
72,机器人总动员 WALL·E,2008,['安德鲁·斯坦顿'],"['安德鲁·斯坦顿', '吉姆·里尔顿', '彼特·道格特']","['本·贝尔特', '艾丽莎·奈特', '杰夫·格尔林', '佛莱德·威拉特', '西格妮·韦弗', 'MacInTalk', '约翰·拉岑贝格', '凯茜·纳基麦', '泰迪·牛顿', '鲍伯·伯根', '洛丽·理查德森', '吉姆·瓦德', '彼特·道格特', '安德鲁·斯坦顿', '杰夫·皮金', '约翰·齐甘', '米凯·麦高万', '雪莉·琳恩', '克莱特·惠特克', '唐纳德·富利洛夫', '罗里·艾伦', '杰斯·哈梅尔', '拉瑞恩·纽曼', '扬·拉布森', '保罗·伊丁']","['科幻', '动画', '冒险']", 美国, 英语,2008-06-27(美国),98分钟, tt0910970,9.3
73,哈尔的移动城堡 ハウルの動く城,2004,['宫崎骏'],"['宫崎骏', '黛安娜·温恩·琼斯']","['倍赏千惠子', '木村拓哉', '美轮明宏', '我修院达也', '神木隆之介', '伊崎充则', '大泉洋', '大塚明夫', '原田大二郎', '加藤治子', '都筑香弥子']","['动画', '奇幻', '冒险']", 日本, 日语,2004-09-05(威尼斯电影节),119分钟, tt0347149,9.1
77,哈利·波特与凤凰社 Harry Potter and the Order of the Phoenix,2007,['大卫·叶茨'],"['迈克尔·戈登伯格', 'J. K. 罗琳']","['丹尼尔·雷德克里夫', '艾玛·沃森', '鲁伯特·格林特', '加里·奥德曼', '拉尔夫·费因斯', '玛吉·史密斯', '迈克尔·刚本', '艾伦·瑞克曼', '艾玛·汤普森', '艾美达·斯丹顿', '詹森·艾萨克', '汤姆·费尔顿', '海伦娜·伯翰·卡特', '邦妮·怀特', '朱丽·沃特斯', '梁佩诗', '布莱丹·格里森', '罗彼·考特拉尼', '伊文娜·林奇']","['奇幻', '冒险']", 英国 / 美国, 英语,2007-08-10(中国大陆),138分钟, tt0373889,8.4
80,哈利·波特与混血王子 Harry Potter and the Half-Blood Prince,2009,['大卫·叶茨'],"['史蒂夫·克洛夫斯', 'J. K. 罗琳']","['丹尼尔·雷德克里夫', '艾玛·沃森', '鲁伯特·格林特', '迈克尔·刚本', '大卫·勒格诺', '埃拉丽卡·加拉切', '吉姆·布劳德本特', '杰拉丁·萨莫维尔', '邦妮·怀特', '朱丽·沃特斯', '海伦娜·伯翰·卡特', '海伦·麦克洛瑞', '蒂莫西·斯波', '艾伦·瑞克曼', '奥利弗·菲尔普斯', '詹姆斯·菲尔普斯', '弗雷迪·史卓玛', '杰西·卡芙', '汤姆·费尔顿', '阿尔弗雷德·伊诺奇', '伊文娜·林奇', '罗伯特·克诺斯', 'Louis Cordice', '斯嘉丽·伯恩', '杰米·威莱特', '乔什·赫德曼', '罗彼·考特拉尼', '沃维克·戴维斯', '大卫·布拉德利', '马修·刘易斯', '威廉姆·麦灵', '安娜·谢弗', '戴文·穆雷', '乔治娜·雷尼达斯', '玛吉·史密斯', '伊莎贝拉·拉夫兰德', '艾芙珊·阿扎德', '谢发丽·裘德胡里', '赫洛·费因斯-提芬', '保罗·里特', '大卫·休里斯', '娜塔丽·特纳', '马克·威廉姆斯', '弗兰克·迪兰', '杰玛·琼斯', '拉尔夫·伊内森', '梁佩诗', '亚瑟·博文', 'Paul Davies', '艾略特·弗朗西斯', '鲁斯迪·戈夫', '詹森·艾萨克', '奥利维亚·杰森', '特蕾莎·马奥尼', '弗莱迪·罗斯', '本·谢博德', '卡伦姆·西维耶', '艾美达·斯丹顿']","['奇幻', '冒险']", 英国 / 美国, 英语,2009-07-15(中国大陆),153分钟, tt0417741,8.2
84,哈利·波特与死亡圣器(上) Harry Potter and the Deathly Hallows: Part 1,2010,['大卫·叶茨'],"['史蒂夫·克洛夫斯', 'J. K. 罗琳']","['丹尼尔·雷德克里夫', '艾玛·沃森', '鲁伯特·格林特', '海伦娜·伯翰·卡特', '拉尔夫·费因斯', '比尔·奈伊', '约翰·赫特', '艾伦·瑞克曼', '艾美达·斯丹顿', '费奥纳·肖', '邦妮·怀特', '朱丽·沃特斯', '米歇尔·费尔利', '杰米·坎贝尔·鲍尔']","['奇幻', '冒险']", 英国 / 美国, 英语,2010-11-19(中国大陆/英国),146分钟, tt0926084,8.5
91,狮子王 The Lion King,1994,"['罗杰·阿勒斯', '罗伯·明可夫']","['艾琳·梅琪', '乔纳森·罗伯特 ', '琳达·伍尔芙顿']","['乔纳森·泰勒·托马斯', '马修·布罗德里克', '杰瑞米·艾恩斯', '詹姆斯·厄尔·琼斯', '莫伊拉·凯利', '内森·连恩', '尼基塔·卡兰姆', '埃林·萨贝拉', '乌比·戈德堡', '罗温·艾金森']","['动画', '歌舞', '冒险']", 美国, 英语 / 斯瓦希里语 / 科萨语 / 祖鲁语,1995-07-15(中国大陆),89 分钟, tt0110357,9.1
98,加勒比海盗 Pirates of the Caribbean: The Curse of the Black Pearl,2003,['戈尔·维宾斯基'],"['泰德·艾略特', '特里·鲁西奥', '斯图尔特·贝亚蒂耶', '杰·沃尔伯特']","['约翰尼·德普', '杰弗里·拉什', '奥兰多·布鲁姆', '凯拉·奈特莉', '杰克·达文波特', '乔纳森·普雷斯']","['动作', '奇幻', '冒险']", 美国, 英语,2003-11-21(中国大陆),143 分钟, tt0325980,8.8
103,疯狂原始人 The Croods,2013,"['柯克·德·米科', '克里斯·桑德斯']","['克里斯·桑德斯', '柯克·德·米科', '约翰·克里斯']","['尼古拉斯·凯奇', '艾玛·斯通', '瑞安·雷诺兹', '凯瑟琳·基纳', '克萝丽丝·利奇曼', '克拉克·杜克', '克里斯·桑德斯', '兰迪·汤姆']","['喜剧', '动画', '冒险']", 美国, 英语,2013-04-20(中国大陆),98分钟, tt0481499,8.7
106,复仇者联盟3：无限战争 Avengers: Infinity War,2018,"['安东尼·罗素', '乔·罗素']","['杰克·科比', '克里斯托弗·马库斯', '斯蒂芬·麦克菲利', '吉姆·斯特林']","['小罗伯特·唐尼', '克里斯·海姆斯沃斯', '克里斯·埃文斯', '马克·鲁弗洛', '乔什·布洛林', '佐伊·索尔达娜', '本尼迪克特·康伯巴奇', '克里斯·帕拉特', '汤姆·赫兰德', '伊丽莎白·奥尔森', '保罗·贝坦尼', '斯嘉丽·约翰逊', '查德维克·博斯曼', '塞巴斯蒂安·斯坦', '唐·钱德尔', '汤姆·希德勒斯顿', '安东尼·麦凯', '本尼迪克特·王', '戴夫·巴蒂斯塔', '布莱德利·库珀', '范·迪塞尔', '凯伦·吉兰', '利蒂希娅·赖特', '庞·克莱门捷夫', '凯莉·库恩', '汤姆-沃恩-劳勒', '海登·瓦尔希', '迈克尔·詹姆斯·肖', '泰瑞·诺塔里', '本尼西奥·德尔·托罗', '彼特·丁拉基', '罗斯·马昆德', '丹娜·奎里拉', '温斯顿·杜克', '弗洛伦丝·卡松巴', '塞缪尔·杰克逊', '雅各布·巴特朗', '斯坦·李']","['动作', '科幻', '奇幻', '冒险']", 美国, 英语,2018-05-11(中国大陆),149分钟, tt4154756,8.1
108,天空之城 天空の城ラピュタ,1986,['宫崎骏'],['宫崎骏'],"['田中真弓', '横泽启子', '初井言荣', '寺田农', '常田富士男', '永井一郎', '糸博', '鹫尾真知子', '神山卓三', '安原义人', '槐柳二', '鳕子']","['动画', '奇幻', '冒险']", 日本, 日语,1992-05-01(中国大陆),125分钟, tt0092067,9.1
109,钢铁侠 Iron Man,2008,['乔恩·费儒'],"['阿特·马库姆', '马特·霍洛维', '马克·弗格斯', '霍克·奥斯比']","['小罗伯特·唐尼', '泰伦斯·霍华德', '格温妮斯·帕特洛', '杰夫·布里吉斯', '莱丝莉·比伯', '肖恩·托布', '保罗·贝坦尼', '乔恩·费儒', '克拉克·格雷格']","['动作', '科幻', '惊悚', '冒险']", 美国, 英语 / 波斯语 / 乌尔都语 / 阿拉伯语,2008-04-30(中国大陆),126分钟, tt0371746,8.4
111,刺杀小说家,2021,['路阳'],"['陈舒', '禹扬', '秦海燕', '路阳']","['雷佳音', '杨幂', '董子健', '于和伟', '郭京飞', '佟丽娅', '董洁', '王圣迪', '杨轶', '刘天佐', '李柄辉', '萧子墨', '双雪涛', '徐建', '刘迅', '李士刚', '袁帅', '任杰', '李军', '陈铁军', '李泰延', '张优', '张戈', '谭天宇', '虞书欣', '高睿菲儿', '吴振熙', '王为成', '黄皓达', '韩陌', '赵尤若男', '康嘉泽', '王洁', '伍艺', '张懿', '李楠', '关乐', '马一萍']","['动作', '奇幻', '冒险']", 中国大陆, 汉语普通话,2021-02-12(中国大陆),130分钟, tt9685342,6.5
117,海蒂和爷爷 Heidi,2015,['阿兰·葛斯彭纳'],"['约翰娜·施皮里', '佩特拉·比翁迪娜·沃尔普']","['阿努克·斯特芬', '布鲁诺·冈茨', '昆林·艾格匹', '安娜·申茨', '伊莎贝尔·奥特曼', '莉莲·奈福', '彼得·杰克林', '克里斯托夫·高格勒', '丽贝卡·因德穆', '莫妮卡·古布瑟', '阿瑟·比勒', '玛丽埃塔·耶米', '彼得·洛迈尔', '卡塔琳娜·舒特勒', '杰拉·哈斯', '迈克尔·克兰茨', '劳拉·帕克', '马库斯·赫林', '马克西姆·梅米特', '汉娜洛蕾·赫格']","['剧情', '家庭', '冒险']", 德国 / 瑞士, 南非语 / 德语 / 瑞士德语,2019-05-16(中国大陆),111分钟, tt3700392,9.3
118,海王 Aquaman,2018,['温子仁'],"['大卫·莱斯利·约翰逊-麦戈德里克', '威尔·比尔', '乔夫·琼斯', '温子仁', '莫尔特·魏辛格', '保罗·诺里斯']","['杰森·莫玛', '艾梅柏·希尔德', '威廉·达福', '帕特里克·威尔森', '妮可·基德曼', '杜夫·龙格尔', '叶海亚·阿卜杜勒-迈丁', '特穆拉·莫里森', '林路迪', '迈克尔·比奇', '兰道尔·朴', '格拉汉姆·麦克泰维什', '雷·沃纳尔', '泰努伊·柯克伍德', '塔穆尔·柯克伍德', '丹泽尔·夸克', '卡恩·古尔杜尔', '奥蒂斯·丹吉', '克考亚·克库毛诺', '朱莉·安德鲁斯', '约翰·瑞斯-戴维斯', '杰曼·翰苏', '索菲亚·福雷斯特', '娜塔莉·萨福兰', '杰克·安德鲁', '汉克·阿莫斯', '帕特里克·考克斯', '罗伯特·朗斯特里特', '德维卡·帕利赫', '梅布尔·塔莫内', '文森特·B·拉戈斯', '加布里埃拉·佩特科娃', '爱丽丝·兰斯伯里', '帕特里克·艾奇逊', '约翰·盖蒂尔', '塔丽亚·杰德·霍尔特', '罗斯·克纳汉', '布拉登·刘易斯', '萨尔瓦多·梅伦达', '山姆·莫纳汉', '温妮·穆赞贝', '凯·潘塔诺', '安娜·帕奇', '乔恩·奎斯蒂德', '迪伦·斯图默', '米奇·武尔夫']","['动作', '奇幻', '冒险']", 美国 / 澳大利亚, 英语 / 毛利语 / 意大利语 / 俄语,2018-12-07(中国大陆),143分钟, tt1477834,7.6
120,布达佩斯大饭店 The Grand Budapest Hotel,2014,['韦斯·安德森'],"['韦斯·安德森', '雨果·吉尼斯', '斯蒂芬·茨威格']","['拉尔夫·费因斯', '托尼·雷沃罗利', '艾德里安·布洛迪', '威廉·达福', '裘德·洛', '爱德华·诺顿', '西尔莎·罗南', '蒂尔达·斯文顿', '比尔·默瑞', '蕾雅·赛杜', '欧文·威尔逊', '詹森·舒瓦兹曼', '马修·阿马立克', 'F·默里·亚伯拉罕', '汤姆·威尔金森', '杰夫·高布伦', '哈威·凯特尔']","['剧情', '喜剧', '冒险']", 美国 / 德国 / 英国, 英语 / 法语 / 德语,2014-02-06(柏林电影节),99分钟, tt2278388,8.9
121,复仇者联盟 The Avengers,2012,['乔斯·韦登'],"['乔斯·韦登', '扎克·佩恩']","['小罗伯特·唐尼', '克里斯·埃文斯', '斯嘉丽·约翰逊', '克里斯·海姆斯沃斯', '杰瑞米·雷纳', '马克·鲁弗洛', '塞缪尔·杰克逊', '汤姆·希德勒斯顿', '斯特兰·斯卡斯加德', '寇碧·史莫德斯', '克拉克·格雷格', '保罗·贝坦尼', '格温妮斯·帕特洛']","['动作', '科幻', '奇幻', '冒险']", 美国, 英语 / 俄语,2012-05-05(中国大陆),142分钟, tt0848228,8.2
