number, name, year, director, screenwriter, roles, style, countries, language, date, long, imdb, evaluation
1053,太空旅客 Passengers,2016,['莫滕·泰杜姆'],['乔·斯派茨'],"['詹妮弗·劳伦斯', '克里斯·帕拉特', '麦克·辛', '劳伦斯·菲什伯恩', '安迪·加西亚', '因德尔·库马尔', '奥罗拉·佩里诺']","['科幻', '冒险']", 美国, 英语 / 汉语普通话,2017-01-13(中国大陆),116分钟, tt1355644,6.9
1055,移动迷宫2 Maze Runner: The Scorch Trials,2015,['韦斯·鲍尔'],"['T·S·诺林', '詹姆斯·达什纳']","['迪伦·奥布莱恩', '卡雅·斯考达里奥', '托马斯·布罗迪-桑斯特', '吉安卡罗·埃斯波西托', '艾丹·吉伦', '李起弘', '巴里·佩珀', '莉莉·泰勒', '派翠西娅·克拉克森', '德克斯特·达登', '亚历山大·弗洛里斯', '雅库布·洛弗兰德', '罗莎·萨拉查', '特里·戴尔·帕克斯', '凯瑟琳·史密斯-麦格林', '凯瑟琳·麦克纳马拉', '娜塔莉·伊曼纽尔']","['动作', '科幻', '冒险']", 美国, 英语,2015-11-04(中国大陆),131分钟,"
        ",6.0
1060,狂暴巨兽 Rampage,2018,['布拉德·佩顿'],"['瑞安·恩格尔', '卡尔顿·库斯', '莱恩·康道尔', '亚当·希泰凯尔']","['道恩·强森', '娜奥米·哈里斯', '杰弗里·迪恩·摩根', '玛琳·阿克曼', '杰克·莱西', '乔·曼根尼罗', '玛丽·谢尔顿', 'P·J·伯恩', '德米垂斯·格罗斯', '杰克·奎德', '布里安·希尔', '马特·杰拉德', '李威尹', '尤里亚·费伯', '布鲁斯·布莱克希尔', '杰森·莱尔斯', '马克·威尔斯', '阿莉莎·布鲁克', '亚当·希泰凯尔', '加里·维克斯', '阿诺德·陈']","['动作', '科幻', '冒险']", 美国, 英语,2018-04-13(美国/中国大陆),107分钟, tt2231461,6.3
1061,奇幻森林 The Jungle Book,2016,['乔恩·费儒'],"['贾斯丁·马科斯', '拉迪亚德·吉普林']","['尼尔·塞西', '比尔·默瑞', '本·金斯利', '伊德里斯·艾尔巴', '露皮塔·尼永奥', '斯嘉丽·约翰逊', '吉安卡罗·埃斯波西托', '克里斯托弗·沃肯', '恩杰伊·安东尼', '盖瑞·山德林', '莎拉·阿林顿', '瑞提什·拉詹']","['剧情', '奇幻', '冒险']", 英国 / 美国, 英语,2016-04-15(美国/中国大陆),106分钟, tt3040964,7.8
1063,憨豆特工3 Johnny English Strikes Again,2018,['大卫·科尔'],"['尼尔·珀维斯', '罗伯特·韦德']","['罗温·艾金森', '本·米勒', '欧嘉·柯瑞兰寇', '杰克·莱西', '艾玛·汤普森', '米兰达·亨妮莎', '亚当·詹姆斯', '萨曼莎·罗素', '大卫·穆梅尼', '通恰伊·古奈什', '梶冈润一', '埃迪·奥康奈尔', '尼克·欧文福特', '马修·比尔德']","['喜剧', '动作', '冒险']", 法国 / 美国 / 英国, 英语,2018-11-23(中国大陆),89分钟, tt6921996,6.3
1064,憨豆特工 Johnny English,2003,['彼得·休伊特'],"['尼尔·珀维斯', '罗伯特·韦德']","['罗温·艾金森', '塔莎·德·瓦斯康赛洛丝', '本·米勒', '格雷·怀斯', '道格拉斯·迈克弗兰', '特伦斯·哈维', '凯文·麦克纳利', '蒂姆·皮戈特-史密斯', '妮娜·扬', 'Rowland Davies', '娜塔莉·安博莉亚', 'Philippa Fordham', '约翰·马尔科维奇', '蒂姆·贝灵顿', '内维尔·菲利普斯', '奥利弗·福德·戴维斯', '山姆·比兹利', '凯文·摩尔', '法鲁克·普鲁提', '珍妮·加洛韦', '海莉·埃克', '塔尼娅·戴维斯', '厄俄斯·蔡特', '盖·耶·韦斯特霍夫', '克里斯·塔伦特', '詹姆斯·格林尼', '特雷弗·麦克唐纳', '詹姆斯·恩布里', '彼得·休伊特', '诺曼·坎贝尔·里斯', '劳伦斯·理查德森', '普鲁内拉·斯凯尔斯']","['喜剧', '动作', '冒险']", 英国 / 法国 / 美国, 英语 / 法语 / 日语,2003-09-12(中国大陆),88 分钟, tt0274166,7.7
1067,尚气与十环传奇 Shang-Chi and the Legend of the Ten Rings,2021,['德斯汀·克里顿'],"['戴夫·卡拉汉姆', '德斯汀·克里顿', '安德鲁·兰纳姆', '史蒂夫·恩格尔哈特', '吉姆·斯特林']","['刘思慕', '梁朝伟', '奥卡菲娜', '张梦儿', '陈法拉', '杨紫琼', '元华', '本尼迪克特·王', '弗罗里安·穆特鲁', '安迪·黎', '本·金斯利', '许玮伦', '库纳尔·杜德赫克', '周采芹', '乔迪·朗', '达拉斯·刘', '钱信伊', '费尔南多·钱', '扎克·切利', '刘家勇', '赫小哈', '琳内特·柯伦', '迪·布拉雷·贝克尔', '布丽·拉尔森', '马克·鲁弗洛', '蒂姆·罗斯']","['动作', '奇幻', '冒险']", 美国 / 澳大利亚, 英语 / 汉语普通话,2021-09-03(美国),132分钟, tt9376612,6.1
1071,七武士 七人の侍,1954,['黑泽明'],"['黑泽明', '桥本忍', '小国英雄']","['三船敏郎', '志村乔', '津岛惠子', '岛崎雪子', '藤原釜足', '加东大介', '木村功', '千秋实', '宫口精二', '小杉义男', '左卜全', '稻叶义男', '土屋嘉男', '高堂国典', '东野英治郎', '上田吉二郎', '多多良纯', '渡边笃', '小川虎之助', '山形勋', '上山草人', '清水元', '高木新平', '大友伸', '高原骏雄', '稻垣三郎', '堺左千夫', '千石规子', '本间文子', '大久保正信', '伊藤实', '大村千吉', '广濑正一', '宇野晃司', '谷晃', '中岛春雄', '清水美恵', '熊谷卓三', '夏木顺平', '岩本弘司', '堤康久', '马野都留子', '森今日子', '加藤武', '仲代达矢', '宇津井健', '山本廉']","['剧情', '动作', '冒险']", 日本, 日语,1954-04-26(日本),207分钟, tt0047478,9.3
1078,南极之恋,2018,['吴有音'],['吴有音'],"['赵又廷', '杨子姗', '白雪', '阎悦', '王啸', '孙迪', '董杨', '张梓然']","['爱情', '冒险']", 中国大陆, 汉语普通话,2018-02-01(中国大陆),117分钟, tt7962598,6.6
1085,猛禽小队和哈莉·奎茵 Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,2020,['阎羽茜'],"['克里斯蒂娜·霍德森', '查克·狄克逊', '乔丹·B·戈芬克尔', '格雷格·兰德']","['玛格特·罗比', '玛丽·伊丽莎白·温斯特德', '罗茜·佩雷兹', '朱尼·斯莫利特', '伊万·麦克格雷格', '埃拉·杰伊·巴斯科', '克里斯·梅西纳', '黄阿丽', '戴维·尤里', '萨拉·蒙特斯', '伊莎贝尔·帕克扎德', '丹尼尔·伯哈特', '帕洛马·拉比诺夫', '德里克·威尔逊', '乔·布卡罗三世', '弗朗克西斯·周', '布鲁诺·奥利弗', '马修·维利希', '杰里米·丹茨林格', '迈克尔·马西尼', '杰西·布什', '史蒂文·威廉姆斯', '夏洛林·阿莫亚', '罗伯特·卡特里尼', '埃迪·阿尔法诺', '普拉莫德库马尔', 'K.K. 巴雷特', '西蒙·瑞', '凯莱布·斯比尔亚兹', '萨拉·贝克', '埃夫卡·科瓦拉西尤斯', '山姆·哈格雷夫', '丹尼斯·基弗', '博亚娜·诺瓦科维奇', '埃里克·迈克尔·科尔', '提姆·里格比', '大卫·安东尼·布廖内', '杰拉德·唐尼', '埃迪·J.费尔南德斯', '尼科·格莱瑟姆', '朱迪·凯恩', '杰夫·里帕瑞', '詹妮尔·麦基', '伊戈·米基塔斯', '安东尼·莫利纳利', '迪索·拉莫斯', '凯伦·特利哈']","['动作', '犯罪', '冒险']", 美国, 英语,2020-02-07(美国),109分钟, tt7713068,5.8
1112,胡桃夹子和四个王国 The Nutcracker And The Four Realms,2018,"['拉斯·霍尔斯道姆', '乔·庄斯顿']","['阿什利·鲍威尔', '汤姆·麦卡锡', 'E·T·A·霍夫曼']","['麦肯吉·弗依', '摩根·弗里曼', '凯拉·奈特莉', '马修·麦克费登', '海伦·米伦', '艾丽·巴姆博', '米兰达·哈特', '欧赫尼奥·德尔维斯', '杰克·怀特霍尔', '理查德·E·格兰特', '谢尔盖·波卢宁', '欧米德·吉亚李利', '梅拉·沙尔', '尼克·穆罕默德', '杰茜·维宁', '汤姆·斯威特', '马里安·洛伦西克', '芙洛·费拉科', '丽塔-麦克唐纳丹帕', '查尔斯·斯特里特']","['奇幻', '冒险']", 美国, 英语,2018-11-02(中国大陆/美国),99分钟, tt5523010,5.9
1117,神奇四侠 Fantastic Four,2005,['蒂姆·斯托瑞'],"['马克·弗罗斯特', '迈克尔·弗朗斯', '斯坦·李', '杰克·科比']","['艾恩·格拉法德', '杰西卡·阿尔芭', '克里斯·埃文斯', '迈克尔·切克利斯', '朱利安·麦克马洪']","['动作', '科幻', '冒险']", 美国 / 德国, 英语,2005-09-29(中国大陆),106分钟, tt0120667,6.7
1118,功夫之王 The Forbidden Kingdom,2008,['罗伯·明可夫'],['约翰·福斯克'],"['迈克尔·安格拉诺', '成龙', '李连杰', '邹兆龙', '刘亦菲', '李冰冰', '莫根·本诺特', '王德顺', '崔文璐', '叶小铿', '刘晓莉']","['动作', '奇幻', '冒险', '武侠', '古装']", 美国 / 中国大陆, 英语 / 汉语普通话,2008-04-24(中国大陆),104分钟, tt0865556,5.7
1122,圆梦巨人 The BFG,2016,['史蒂文·斯皮尔伯格'],"['梅丽莎·马西森', '罗尔德·达尔']","['鲁比·巴恩希尔', '马克·里朗斯', '比尔·哈德尔', '丽贝卡·豪尔', '拉菲·斯波', '佩内洛普·威尔顿', '杰梅奈·克莱门特', '亚当·戈德利', '迈克尔·亚当思韦特', '丹尼尔·巴孔']","['奇幻', '冒险']", 美国 / 英国, 英语,2016-10-14(中国大陆),117分钟, tt3691740,6.8
1128,角斗士 Gladiator,2000,['雷德利·斯科特'],"['大卫·弗兰佐尼', '约翰·洛根', '威廉姆·尼克尔森']","['罗素·克劳', '华金·菲尼克斯', '康妮·尼尔森', '奥列佛·里德', '理查德·哈里斯', '德里克·雅各比', '杰曼·翰苏', '大卫·斯科菲尔德', '约翰·斯拉普内尔', '托马斯·阿拉纳', '拉尔夫·莫勒', '斯宾塞·崔特·克拉克', '戴维·海明斯', '汤米·弗拉纳根', '史文-欧尔·托尔森', '欧米德·吉亚李利', 'Chris Kell', '托尼·库兰', '大卫·拜利', '艾尔·阿什顿', '雷·卡雷贾', '詹妮娜·法西奥', '乔治·坎塔里尼', '阿兰·柯德勒', '迈克尔·梅林杰', '亚当·利维', '吉力·吉尔克里斯特', 'Kjeld Gogosha-Clark', '尼克·梅因', '若昂·科斯塔·梅内塞斯', '迈克·米切尔', '诺曼·坎贝尔·里斯', '布瑞恩·斯米吉']","['剧情', '动作', '冒险']", 美国 / 英国 / 马耳他 / 摩洛哥, 英语,2000-05-05(美国),155分钟, tt0172495,8.5
1130,末日崩塌 San Andreas,2015,['布拉德·佩顿'],"['卡尔顿·库斯', '安德烈·法布里齐奥', '杰里米·帕斯莫尔']","['道恩·强森', '亚历珊德拉·达达里奥', '卡拉·古奇诺', '雨果·约翰斯通-伯特', '雅奇·潘嘉比', '科尔顿·海恩斯', '艾恩·格拉法德', '保罗·吉亚玛提', '凯莉·米洛', '李威尹', '瓦内萨·罗斯', '马特·杰拉德', '阿特·帕金森', '罗宾·阿特金·唐斯', '艾伦·D·柏温', '亚历克·乌特戈夫', '摩根·格莉芬', '杰米斯·巴特勒', '艾伦·波普尔顿']","['动作', '冒险', '灾难']", 美国 / 澳大利亚, 英语,2015-06-02(中国大陆),114分钟, tt2126355,7.0
1134,勇敢传说 Brave,2012,"['马克∙安德鲁斯', '布兰达∙查普曼', '史蒂夫·普切尔']","['布兰达∙查普曼', '艾琳·梅琪', '马克∙安德鲁斯', '史蒂夫·普切尔']","['凯莉·麦克唐纳', '艾玛·汤普森', '比利·康诺利', '朱丽·沃特斯', '罗彼·考特拉尼', '凯文·麦克基德', '克雷格·费格森', '莎莉·金霍恩', '伊丽·弗雷泽', '佩吉·巴克', '史蒂芬·克里', '卡勒姆·奥尼尔', '帕特里克·道尔', '约翰·拉岑贝格', '史蒂夫·波赛尔']","['喜剧', '动画', '奇幻', '冒险']", 美国, 英语,2012-06-19(中国大陆),93分钟,"
        ",7.6
1138,星球大战7：原力觉醒 Star Wars: The Force Awakens,2015,['J·J·艾布拉姆斯'],"['J·J·艾布拉姆斯', '劳伦斯·卡斯丹', '迈克尔·阿恩特', '乔治·卢卡斯']","['哈里森·福特', '马克·哈米尔', '凯丽·费雪', '亚当·德赖弗', '黛西·雷德利', '约翰·博耶加', '多姆纳尔·格里森', '奥斯卡·伊萨克', '露皮塔·尼永奥', '安迪·瑟金斯', '安东尼·丹尼尔斯', '彼德·梅犹', '马克斯·冯·叙多夫', '比利·迪·威廉姆斯', '爱德华·斯皮伊尔斯', '马修·詹姆斯·托马斯', '肯尼·贝克', '格温多兰·克里斯蒂', '西蒙·佩吉', '克里斯塔·克拉克', '匹普·安德森']","['动作', '科幻', '冒险']", 美国, 英语,2016-01-09(中国大陆),135分钟, tt2488496,7.2
1139,比得兔 Peter Rabbit,2018,['威尔·古勒'],"['威尔·古勒', '罗伯·列博', '碧翠丝·波特']","['詹姆斯·柯登', '多姆纳尔·格里森', '罗丝·伯恩', '伊丽莎白·德比茨基', '玛格特·罗比', '黛西·雷德利', '科林·穆迪', '山姆·尼尔', '希雅', '伊文·莱斯利', '费萨尔·巴齐', '克里斯蒂安·加扎尔', '玛丽安娜·琼-巴普蒂斯特', '加雷斯·戴维斯', '山姆·哈夫特', '萨莎·霍勒', '娜塔丽·朱', '特伦尼娅·爱德华兹', '费利克斯·威廉森', '许明珠', '布莱恩·布朗', '蕾切尔·沃德', '大卫·文翰', '威尔·赖歇尔特']","['喜剧', '动画', '冒险']", 美国 / 英国 / 澳大利亚, 英语,2018-03-02(中国大陆),95分钟, tt5117670,7.1
1150,明日之战 The Tomorrow War,2021,['克里斯·麦凯'],['扎克·迪恩'],"['克里斯·帕拉特', '伊冯娜·斯特拉霍夫斯基', 'J·K·西蒙斯', '艾德文·霍德吉', '山姆·理查森', '贝蒂·吉尔平', '贾思敏·马修斯', '玛丽·莱恩·莱杰斯库', '赖恩·基拉·阿姆斯特朗', '凯斯·鲍尔斯', '赛切儿·加布埃尔', '菲丽莎·特雷尔', '梅利莎·圣阿曼德', '加里·维克斯', '大卫·马尔登那多', '马修·康威尔', '埃里克·格里斯', '罗伯特·廷斯利', '安德里娅·安德拉德', '帕特里克·马龙', '施奎塔·詹姆斯', '吉姆·帕尔默', '雷德·戴利', '亚历克西斯·拉奥特', '梅根·劳利斯', '克拉克·萨鲁洛', '肯尼斯·以色列', '小佩里·祖鲁', '肖恩·雷卡特尔', 'Rodney L. James', 'Chibuikem Uche', 'Mike Mitchell', 'Alan Trong']","['动作', '科幻', '冒险']", 美国, 英语,2021-09-03(中国大陆),138分钟, tt9777666,5.9
1153,木乃伊 The Mummy,1999,['斯蒂芬·索莫斯'],"['斯蒂芬·索莫斯', '劳埃德·丰维耶勒', '凯文·贾尔 ', '约翰·L·鲍尔德斯顿', '尼纳·威尔科克斯·普特南', '理查德·沙耶尔']","['布兰登·费舍', '蕾切尔·薇兹', '约翰·汉纳', '阿诺德·沃斯洛', '凯文·J·奥康纳', '乔纳森·海德', '奥德·菲尔', '艾瑞克·阿瓦利', '史蒂芬·邓纳姆', '克里·约翰逊', '塔克·霍金斯', '欧米德·吉亚李利', '阿隆·伊帕莱', '博纳德·福克斯', '帕翠西娅·维拉奎兹', '卡尔·蔡斯', 'Mohammed Afifi', '肖恩·克罗宁', '霍伊·多罗夫', '若昂·科斯塔·梅内塞斯']","['剧情', '动作', '奇幻', '冒险']", 美国 / 英国 / 摩洛哥, 英语 / 古埃及语 / 阿拉伯语 / 汉语普通话 / 希伯来语 / 匈牙利语,1999-04-16(葡萄牙),125分钟, tt0120616,7.9
1162,古墓丽影：源起之战 Tomb Raider,2018,['罗阿尔·乌索格'],"['吉内瓦·德沃莱特-罗宾森', '阿拉斯泰尔·西登斯', '埃文·达赫迪']","['艾丽西亚·维坎德', '吴彦祖', '多米尼克·韦斯特', '沃尔顿·戈金斯', '克里斯汀·斯科特·托马斯', '汉娜·乔恩-卡门', '尼克·弗罗斯特', '德里克·雅各比', '安东尼奥·阿克儿', '亚历山大·维尧姆', '杰美·温斯顿', '迈克尔·奥拜奥拉', '艾米丽·凯里', '肯尼思·霍']","['动作', '冒险']", 美国, 英语,2018-03-16(美国/中国大陆),118分钟, tt1365519,6.0
1165,名侦探柯南：业火的向日葵 名探偵コナン 業火の向日葵,2015,['静野孔文'],"['樱井武晴', '青山刚昌']","['高山南', '山口胜平', '山崎和佳奈', '小山力也', '林原惠美', '岩居由希子', '高木涉', '大谷育江', '绪方贤一', '富田耕生', '松井菜樱子', '榊原良子', '宝龟克寿', '野上尤加奈', '矶部弘', '咲野俊介', '石冢运升', '茶风林', '泽田敏子', '皆口裕子', '大川透', '陶山章央', '楠大典', '柴田秀胜', '三户耕三', '梅津秀行', '松本大', '鸟海胜美', '武田晶子', '仓田雅世', '小田敏充', '知英', '荣仓奈奈']","['动画', '悬疑', '冒险']", 日本, 日语,2015-10-23(中国大陆),113分钟, tt3737650,6.0
