number, name, year, director, screenwriter, roles, style, countries, language, date, long, imdb, evaluation
1729,时时刻刻 The Hours,2002,['史蒂芬·戴德利'],"['戴维·黑尔', '迈克尔·坎宁安']","['梅丽尔·斯特里普', '朱丽安·摩尔', '妮可·基德曼', '艾德·哈里斯', '托妮·科莱特', '克莱尔·丹妮丝', '杰夫·丹尼尔斯', '斯蒂芬·迪兰', '艾莉森·珍妮', '约翰·C·赖利', '米兰达·理查森', '艾琳·阿特金斯', '玛格·马丁戴尔', '琳达·巴塞特', 'George Loftus', '杰克·罗韦洛']","['剧情', '传记']", 美国 / 英国, 英语,2002-12-27(美国),110分钟, tt0274558,8.6
1771,勇往直前 Only the Brave,2017,['约瑟夫·科辛斯基'],"['肯·诺兰', '埃里克·辛格尔', '肖恩·弗林']","['乔什·布洛林', '迈尔斯·特勒', '杰夫·布里吉斯', '詹妮弗·康纳利', '詹姆斯·戴尔', '泰勒·克奇', '安迪·麦克道威尔', '吉欧夫·斯图兹', '亚历克斯·罗素', '萨德·拉金比尔', '本·哈迪', '斯科特·黑兹', '杰克·皮克金', '斯科特·福克斯', '迪兰·科宁', '娜塔莉·豪尔', '贝尔·詹姆斯']","['剧情', '传记', '灾难']", 美国, 英语,2017-12-08(中国大陆),134分钟, tt3829920,8.3
1796,剃头匠,2006,['哈斯朝鲁'],['冉平'],['靖奎'],"['剧情', '传记']", 中国大陆, 汉语普通话,2006-10-24,100分钟, tt1160619,9.2
1830,美国狙击手 American Sniper,2014,['克林特·伊斯特伍德'],['杰森·霍尔'],"['布莱德利·库珀', '西耶娜·米勒', '卢克·葛莱姆斯']","['动作', '传记', '战争']", 美国, 英语 / 阿拉伯语,2014-11-11(AFI影展),132分钟, tt2179136,7.7
1889,极速风流 Rush,2013,['朗·霍华德'],['皮特·摩根'],"['克里斯·海姆斯沃斯', '丹尼尔·布鲁赫', '奥利维亚·王尔德', '亚历山德拉·玛丽亚·拉娜', '皮耶尔弗兰切斯科·法维诺', '大卫·卡尔德', '娜塔莉·多默尔', '史蒂芬·曼甘', '克里斯蒂安·麦凯', '埃利斯戴尔·皮特里', '朱利安·林希德-图特', '科林·斯廷顿', '帕特里克·巴拉迪', '文森特·里奥特', '马丁·萨维奇', '杰米·西弗斯', '汤姆·拉斯齐哈', '克里斯蒂安·索利诺', '詹姆斯·诺顿', '约瑟芬·德·拉·波美', '杰弗里·斯特里特菲尔德', '布鲁克·约翰斯顿', '汉纳·布里特兰德', '利萨·麦克阿里斯特', '汉斯-埃卡特·埃克哈特', '小家山晃', '罗杰·内瓦雷斯', '罗非洛·迪格托勒', '马可·卡纳迪', '迪米特里·格里特萨斯', '杰伊·辛普森', '菲利普·斯波', '恩里奇·雷德曼', '藤本正史', '罗布·卡瓦佐斯', '李·阿斯奎斯-柯', '贝恩·科拉科', '克里斯·考林', '格拉姆·柯里']","['剧情', '传记', '运动']", 英国 / 德国 / 美国, 英语 / 德语 / 意大利语 / 法语 / 西班牙语,2015-12-11(中国大陆),123分钟, tt1979320,8.8
1947,走出非洲 Out of Africa,1985,['西德尼·波拉克'],"['卡琳·布里克森', '科特·路德特克', '大卫·雷菲尔德']","['梅丽尔·斯特里普', '罗伯特·雷德福', '克劳斯·马利亚·布朗道尔', '迈克尔·基臣', '马利克·鲍恩斯', '迈克尔·高夫', '苏珊娜·汉密尔顿', '瑞切尔·凯姆普森', '格拉汉姆·克罗登', '莱斯利·菲利普斯', '谢恩·里默', '多纳尔·麦卡恩', 'Kenneth Mason', 'Tristram Jellinek', '史蒂芬·B·格里姆斯', 'Annabel Maule', 'Benny Young', 'Niven Boyd', '伊曼']","['剧情', '爱情', '传记', '冒险']", 美国, 英语 / 斯瓦希里语,1985-12-10(洛杉矶首映),161分钟, tt0089755,8.6
1967,摩托日记 Diarios de motocicleta,2004,['沃尔特·塞勒斯'],['何塞·里维拉'],"['盖尔·加西亚·贝纳尔', '罗德里戈·德拉·塞尔纳', '梅赛黛斯·莫朗', '吉安·皮埃尔·诺厄尔', 'Lucas Oro', '米娅·麦斯特罗']","['剧情', '传记', '冒险']", 阿根廷 / 美国 / 智利 / 秘鲁 / 巴西 / 英国 / 德国 / 法国, 奇楚亚语 / 西班牙语,2004-01-15(圣丹斯电影节),126 分钟, tt0318462,8.5
1994,我的1919,1999,['黄健中'],"['黄丹', '唐娄彝']","['陈道明', '何政军', '许晴', '修宗迪', '李建义', '杰拉德·蒂里翁', '爱德华·米克斯', '伊曼纽尔·博', '萨拉·格莱宾', '卡琪娅·申库', '露西·杜克恩', '岛冈现', '小野地清悦', '弗朗索瓦·加斯科', '纪尧姆·珀蒂托·贝尔韦讷', '王大为', '郭靖宇', '薛山']","['剧情', '传记', '历史']", 中国大陆, 英语 / 法语 / 汉语普通话,1999-09-16(中国大陆),98分钟, tt0441912,8.5
2040,甘古拜·卡蒂娅瓦迪 Gangubai Kathiawadi,2022,['桑杰·里拉·彭萨里'],"['桑杰·里拉·彭萨里', '普拉卡什·卡帕迪亚', '乌特卡希尼·瓦西斯塔']","['阿莉雅·布哈特', '山塔努·马赫什瓦里', '维贾伊·拉齐', '英迪拉·蒂瓦里', '西玛·帕瓦', '阿贾耶·德乌干', '瓦伦·卡浦尔', '阿卡什·潘迪', '查亚·卡达姆', '拉萨·默拉德', '胡玛·库雷希', 'M·K·拉伊纳', '吉姆·萨伯']","['剧情', '传记']", 印度, 印地语 / 泰卢固语,2022-02-16(柏林电影节),152分钟, tt10083340,7.7
2106,"倒数时刻 Tick, Tick…Boom!",2021,['林-曼努尔·米兰达'],"['史蒂文·莱文森', '乔纳森·拉森']","['安德鲁·加菲尔德', '亚历山德拉·希普', '罗宾·德·齐泽斯', '凡妮莎·哈金斯', '约书亚·亨利', '乔纳森·马克·谢尔曼', 'MJ·罗德里格斯', '朱迪斯·赖特', '布莱德利·惠特福德', '林-曼努尔·米兰达', '芮妮·戈兹贝里', '菲莉帕·苏', '克里斯·杰克逊', '劳拉·本纳蒂', '达尼埃尔·费兰', '乌特卡什·安邦德卡尔', 'Robyn Goodman', '朱迪·库恩', '丹尼·伯斯坦', '理查德·坎德', 'Tariq Trotter', '乔安娜·阿德勒', '克里斯·沙利文', '罗杰·巴特', '乔尔·格雷', '诺亚·罗宾斯', 'Gizel Jimenez', 'Ben Ross', 'Micaela Diamond']","['剧情', '歌舞', '传记']", 美国, 英语,2021-11-10(美国电影学会电影节),122分钟, tt8721424,8.2
2109,妇女参政论者 Suffragette,2015,['莎拉·加芙隆'],['艾比·摩根'],"['凯瑞·穆里根', '海伦娜·伯翰·卡特', '布莱丹·格里森', '安-玛莉·杜芙', '本·卫肖', '梅丽尔·斯特里普', '萝玛拉·嘉瑞', '杰夫·贝尔', '萨缪尔·韦斯特', '摩根·华金斯', '娜塔莉·普莱斯', '玛瑞沃拉·嘉沃斯卡', '理查德·班克斯', '李·尼古拉斯·哈里斯', '亚当·那加提斯']","['剧情', '传记', '历史']", 英国, 英语,2015-09-04(特柳赖德电影节),106分钟, tt3077214,8.6
2140,国王理查德 King Richard,2021,['雷纳尔多·马库斯·格林'],['扎克·贝林'],"['威尔·史密斯', '黛米·辛格顿', '萨尼雅·西德尼', '安洁纽·艾莉丝', '乔·博恩瑟', '托尼·戈德温', '米凯拉·拉沙·巴塞洛缪', '达尼埃莱·劳森', '莱拉·克劳福德', '埃里卡·林格', '诺亚·比恩', '克雷格·泰特', '乔赛亚·克罗斯 ', '小卡尔文·克劳塞尔', '沃恩·W·希伯伦', '小吉米·沃克', '凯文·杜恩', '布拉德·格林奎斯特', '布兰顿·莫拉莱斯', '爱丽珂谢弗', '安迪·比恩', '朱迪思•查普曼', '切特·格里索姆', '乔纳森·贝莱', '卡特里娜·贝恩', '里奇·索莫', '艾琳·库明斯', '汤姆·德格南', '弗吉尼亚·施奈德', '瓦莱丽·戴维森', '汉娜·巴尔福特', '梅尔·法尔', '玛丽·帕斯科', '古纳尔·怀特', '迪伦·麦克德莫特', '苏西·阿布罗梅特', '索菲亚·布伊', '约翰尼·曼斯巴赫', '凯蒂·麦克凯布', '丹·萨霍夫']","['剧情', '传记', '运动']", 美国, 英语,2021-09-02(特柳赖德电影节),144分钟, tt9620288,7.4
2148,银行家 The Banker,2020,['乔治·诺非'],"['Niceole R. Levy', '乔治·诺非', 'David Lewis Smith', 'Stan Younger', '布拉德·凯恩']","['安东尼·麦凯', '塞缪尔·杰克逊', '尼古拉斯·霍尔特', '杰西·厄舍', '科尔姆·米尼', '保罗·本-维克托', '格雷戈里·艾伦·威廉斯', '迈克尔·哈尔尼', '尼娅·朗', '泰勒·布莱克', '罗达·格里菲丝', '吉尔·简·克莱门茨', '杰森·戴维斯', '克雷格·韦茨巴赫尔', '克里斯·加恩', '大卫·马尔登那多', '格拉伦·布莱恩特·班克斯', '杰伦·戈登', '扎克·哈内尔', '卡梅伦·布鲁姆布罗', '詹姆斯·杜蒙特', 'Daniel Johnson']","['剧情', '传记']", 美国, 英语,2021-11-26(中国大陆),120分钟, tt6285944,7.4
2244,华盛顿邮报 The Post,2017,['史蒂文·斯皮尔伯格'],"['丽兹·汉娜', '乔希·辛格']","['梅丽尔·斯特里普', '汤姆·汉克斯', '莎拉·保罗森', '鲍勃·奥登科克', '崔西·莱茨', '布莱德利·惠特福德', '布鲁斯·格林伍德', '马修·瑞斯', '爱丽森·布里', '凯莉·库恩', '杰西·普莱蒙', '大卫·克罗斯', '扎克·伍兹', '帕特·希利', '约翰·鲁', '里克·霍姆斯', '菲利普·卡斯诺夫', '杰茜·缪勒', '斯塔克·桑德斯', '迈克尔·西里尔·克赖顿', '威尔·丹顿', '迪尔德丽·罗夫乔', '迈克尔·斯图巴']","['剧情', '传记', '历史']", 美国 / 英国, 英语,2017-12-22(美国点映),116分钟, tt6294822,8.3
2267,跛豪,1991,['潘文杰'],"['麦当雄', '萧若元', '丁卉霖', '陈慎芝', '李英杰']","['吕良伟', '郑则仕', '叶童', '叶子楣', '李子雄', '吴启华', '黄光亮', '徐锦江', '曾江', '罗烈', '吴孟达', '刘洵', '刘江', '江欣燕', '陈荣宗', '钟发', '韩坤', '陈治良', '吴廷烨', '吴丽珠', '钱似莺', '黄智强', '古慧珍', '骆达华', '林迪安', '雷达', '卫青', '林华勋', '李英杰', '黄树棠', '黄金棠', '麦鹤顿', '谭伟民', '梁心', '黄仲渠', '吴国佳', '何永祥', '曾醒光', '蔡宪章', '陈汉文']","['剧情', '传记', '犯罪']", 中国香港, 粤语,1991-04-15(中国香港),143分钟, tt0101490,8.3
2288,光荣之路 Glory Road,2006,['詹姆斯·加特纳'],"['查尔斯·克利夫兰', '贝蒂娜·格利欧斯']","['乔什·卢卡斯', 'Wes Brown', '德里克·卢克', '强·沃特', '奥斯汀·尼可斯']","['剧情', '传记', '运动']", 美国, 英语,2006-01-13(美国),118 分钟, tt0385726,8.6
2294,永不妥协 Erin Brockovich,2000,['史蒂文·索德伯格'],['苏珊娜·格兰特'],"['朱莉娅·罗伯茨', '大卫·布里斯宾', '阿尔伯特·芬尼', '维勒特·罗德里格斯', '康查塔·费雷尔', 'Jack Gill', '史考蒂·莱文沃斯', '杰蒙妮·德拉佩纳', '艾琳·布鲁克维奇-埃利斯', '艾伦·艾克哈特', '玛格·海根柏格', '杰米·哈罗德', '斯嘉丽·波莫尔斯', 'T·J·塞恩', '乔·克里斯特', '迈克尔·哈尔尼', '威廉姆·拉金', '米密·肯尼迪', '斯科特·索尔斯', '切莉·琼斯', 'Kristina Malota', '韦德·威廉姆斯', '崔西·沃特', 'Don Snell', '迈克尔·山姆伯格', '吉娜·盖莱果', '彼德·考约特', '维尼·考克斯', 'Norma Maldonado', 'Ed Masry', 'Tom Tangen']","['剧情', '传记']", 美国, 英语,2000-03-17(加拿大),130分钟, tt0195685,8.4
2331,弗里达 Frida,2002,['朱丽·泰莫'],"['克兰西·西加尔', '黛安娜·莱克', '格雷戈里·内瓦', '安娜·托马斯']","['萨尔玛·海耶克', '阿尔弗雷德·莫里纳', '米娅·麦斯特罗', '艾什莉·贾德', '安东尼奥·班德拉斯', '杰弗里·拉什', '爱德华·诺顿', '瓦莱丽亚·戈利诺', '迭戈·卢纳', '亚历杭德罗·乌西利', '萨弗蓉·布罗斯', '洛罗·纳瓦罗', '罗杰·里斯', '费尔明·马丁内斯', '阿梅莉亚·萨帕塔', '罗伯托·梅迪纳', '帕特里夏·雷耶斯·斯平多拉', '玛加丽塔·桑斯', '奥马尔·罗德里格斯', '查维拉·巴尔加斯', '费利佩·富勒普']","['剧情', '爱情', '传记']", 美国 / 墨西哥 / 加拿大, 英语 / 法语 / 俄语 / 西班牙语,2002-08-29(威尼斯电影节),123分钟, tt0120679,8.7
